question,description,Meta_Tags
iPad login asterisk interpretation problem [closed],"What I Know

A user is trying to login to our learning management system from his iPad

He said that with iPads, when you enter a password (*****) that the iPad interprets it as asterisks and not the ...","ipad, passwords, asterisk"
echo print double quotes in text file even if the command does not contain that [closed],"This is my code sample:
ProcessBuilder pb = new ProcessBuilder(
        ""cmd.exe"",
        ""/c"",
        ""chcp 65001 > nul && "" + this.cmd
);

pb....","java, cmd"
Using Lifespan FastAPI in Vertex AI Endpoint got 503,I'm trying to serve my custom container model in Vertex AI Endpoint. Im using Fast API and I need to load 5 models in my lifespan before executing the request. When I try to request my Endpoint it got ...,", google-cloud-platform, fastapi, google-cloud-endpoints, google-cloud-vertex-ai"
Autowiring NullChannel for Spring Integration 7 / Spring Boot 4,"I am attempting to upgrade from Spring Boot 3.5 to 4.0, which includes an upgrade to spring integration 7, but am having trouble autowiring my nullChannel.
In the previous version I have often ...","java, spring-boot, spring-integration, spring-integration-dsl"
Why is libvirtd.service ignoring the configuration value of host_uuid_source on reboot,"I have a hypervisor, RHEL9, qemu 9+, virsh 10.10.0.
When I run the following:
virsh capabilities | grep uuid
It returns a default value ""0000000-0000-0000-0000-efbeaddfbe"".
/etc/libvirt/...","qemu, libvirt"
Passing a matrix from python to R through rpy2 [closed],I am trying to find out how to pass a matrix from python into R through rpy2 for further processing into the R script and then get the resulting value back to python. Everywhere I 've looked I see how ...,", python, r, list, type-conversion, rpy2"
Different output from rmarkdown to docx depending on how the style is applied,"I'm rendering a docx document using officedown and officer packages. Setting the style to a paragraph can be done in two ways:

using `:::{custom-style=""List Bullet""}

creating paragraphs ...",", r, r-markdown, officer, officedown"
"Add saving directly to SharePoint online from Adobe, need admin approval","One of our users is trying to define SharePoint online as the storage for adobe acrobat, but when the user tried to do so, they get this message that the user need admin approval:-

now using global ...",", azure, sharepoint, office365, adobe, office365-apps"
List2 error occuring while ploting a histogram [duplicate],"Sorry for the maybe dumb question but I am very new to R studio aaaaand I don't undertsand the following error message :
I am trying to plot a very simple histogram, here is my code. I have loaded a ...",", r, list, ggplot2, histogram"
Global AsyncClient Reuse Best Practices,"I'm wondering what the best practice for a global httpx GlobalClient is in Python 3.14. generally it's best to have a single global event loop, but what if I need more parallelism or to not block with ...","python, celery, python-asyncio, httpx"
How to Retrieve the width of a QML object with layout.fillWidth: true in nested Layouts?,"Qt 6.10.1
The last version of qml module
RowLayout{

    anchors.fill:parent

    ColumLayout{

        anchors.fill:parent

        Rectangle{

            Layout.fillWidth: true

            Layout....","qt, layout, qml"
Is it possible to build bgfx with cmake? [closed],"I’m trying to build bgfx using CMake, but I’m not sure whether this is officially supported or what the correct workflow is.
From what I understand, bgfx primarily uses GENie to generate project files,...","c++, windows, cmake, mingw, bgfx"
Backend for Frontend (BFF) - Spring Boot vs Node JS [closed],We are migrating a Java Swing-based enterprise desktop application to a web application. The frontend will be built using ReactJS and the existing application backend (Java) will continue to run on a ...,"java, node.js, spring, spring-boot, security"
Pydantic V1 functionality isn't compatible with Python 3.14,"I have an error when importing replicate lib in my Python 3.14 project
D:\Api\proj\.venv\Lib\site-packages\replicate\resource.py:5: UserWarning: Core Pydantic V1 functionality isn't compatible with ...","python, pydantic, replicate, python-3.14"
Rust enum conversion infinite loop overflow,"Why is this causing an infinite loop on EnumFormat::A.into()?
#[repr(i64)]
pub enum EnumFormat {
    A = 0,
    B = 1,
}

impl From<i64> for EnumFormat {
    fn from(value: i64) -> Self {
    ...","rust, enums, type-conversion"
Windows Kernel Driver Persistent Flag Creation,"Greetings all you Win32 kernel devs,
I would like to receive some recommendations as to how my driver can simply keep a ""flag"" that I can set/retrieve persistent after my driver is unloaded. ...","windows, driver, persistence, flags"
How to get a string data from a PHP file which uses json_encode() while using fetch() in TypeScript? [closed],"I'm trying to get a simple string data from my PHP file outputting a simple version number I scrape from my github repo to populate a minor place in my website but so far, I'm unable to get the ...",", php, json, typescript, string, fetch-api"
Database.EnsureCreated(); fails,"I have an app developed in .NET Maui 10. It was previously in .NET 9 and worked correctly.
 public App( )
 { 
     InitializeComponent();
     MauiExceptions.UnhandledException += (sender, args) =>
...","maui, system.data.sqlite, asp.net-core-10.0"
Career Advice: Which programming language should an Android developer learn for the AI-driven era?,"I am an Android developer with 1.2 years of experience, primarily working with Java.
With the current tech economy shifting heavily toward AI-integrated applications, I feel that traditional mobile ...",", java, android, xml, artificial-intelligence, feature-selection"
GCP Cloud NAT dropping ingress packets after some period (MongoDB / Redis timeouts): why? [closed],I’m troubleshooting an issue with GCP Cloud NAT that caused transient but severe production outages (MongoDB and Redis timeouts). I’d like to understand whether this is expected NAT behavior or ...,", google-cloud-platform, nat, google-cloud-networking"
How to secure inbound and outbound from my azure web app to the internet without the use of firewall [closed],"Hi all sorry if this is more detail than needed. This is a personal project and I’m trying to be precise so I don’t miss anything important.
I have an Azure PaaS-heavy architecture for document ...",", azure, azure-security, azure-nsg"
"JMeter in GitLab CI (Docker) intermittently fails with ""java.net.UnknownHostException""","I’m running JMeter tests from a GitLab CI pipeline where JMeter is executed inside a Docker container (not installed on the runner host).
Setup

GitLab Runner: Docker executor
JMeter Docker image: .../...","performance, jmeter, performance-testing, ttl, unknown-host"
Why does this code save registers before interrupts which don't destroy these registers?,"I have been reading MS-DOS 1.00 source code. Link: https://www.pagetable.com/?p=165
One of the times where the developer decided to save a register, that is preserved by BIOS?
print           xor     ...","assembly, x86-16, dos, bios, real-mode"
